Keyword,Source,Sentence,隐含情绪,情绪动机,置信度
被孤立,comment,别人也有很多是她们努力半天却只达到了你生来就有的样子[棒R],正面,学业,low
被孤立,comment,我还在努力修剪中,正面,学业,low
被孤立,comment,我努力变得和他们一样，可后来发现还是不一样,正面,学业,low
被孤立,comment,那是他们的不对，不用勉强自己，尽可能往上走会遇到更多欣赏自己且志同道合的人，宝宝加油[亲一个R][亲一个R],正面,学业,low
被孤立,comment,小时候捡过别人掉到地上的东西吃，一直被语言暴力影响后会一遇到事情就想去s，到大学也吃过别人吃剩的菜…虽然很不好意思，但我一直在努力的改，努力的融入社会,正面,学业,low
被孤立,comment,一直坚持和努力的你也真的很厉害,正面,学业,low
被孤立,comment,明明学习比别人更努力了，也比别人学的更好了，但还是被叫傻子，又因为我不擅长交朋友，花钱也总是给人感觉扣扣搜搜的，所以很多人都欺负我,正面,学业,low
被孤立,comment,抱抱姐妹，一切会好起来的[棒R]如果是同学霸凌得跟老师或者家长说哦，如果是家长对你不好的话，那在家就尽量不要跟他们说话起冲突，然后以后自己工作生活了就会好很多啦[亲一个R]抱抱,正面,学业,low
被孤立,comment,不知道你现在是不是才大一，你在快截止的时候发出来，就已经引起不满，这导致后面冲突,正面,学业,low
被孤立,comment,有冲突和双方不满的情况下，你没有把话说开，不解决问题，和你朋友走在一起，你是在逃避,正面,学业,low
被孤立,comment,不要自责宝宝别内耗咱努力外耗，你没有做错任何事，敢让你擦屁股说明你是能力很强的很善良的女孩子,正面,学业,low
被孤立,comment,你很优秀，大学四年说长不长，一眨眼就过去了，抓紧时间努力学习的同时好好玩吧,正面,学业,low
被孤立,comment,回复：估计是之前没啥利益冲突，也觉得你比较好说话，可能没表现出来,正面,学业,low
被孤立,comment,我是财务部的负责人，确实和各门店有一点冲突，涉及到她们的利益，对我不友善是既定事实，大家立场不同，我也不抨击她们人品,正面,学业,low
被孤立,comment,最近也打算看一些心理学的书，一起加油,正面,学业,low
被孤立,comment,你只管去努力，然后你会发现，远离这些琐碎的烂事有钱就行，就像同一家飞机，有头等和商务，还有经济,正面,学业,low
被孤立,content,（叠buff，你现在很有可能会说，我对自己一点也不苛刻呀，我这么懒，不自律，不努力,正面,学业,low
被孤立,content,我不够努力,正面,学业,low
被孤立,comment,回复：这并不冲突,正面,学业,low
被孤立,comment,回复：哎没关系的宝宝 很快就过去啦 我们一起加油度过呀,正面,学业,low
被孤立,comment,回复：嗯嗯，我会努力的,正面,学业,low
被孤立,comment,但这不是你的问题，别让这种不舒服的感觉缠太久呀，不要总是内耗，友情也并不是人生的全部，既然你的朋友不理你，那我们就努力并充实自己,正面,学业,low
被孤立,comment,加油坚信：凡事发生皆有利于我,正面,学业,low
被孤立,comment,加油宝子可以和我聊聊天,正面,学业,low
被孤立,comment,只是不一路人而已，所以努力的意义就在于给自己创造一个舒适度高的环境，人以类聚，如果已经掉进泥潭又心高眼高想要破茧，就要代偿之前的安逸，加倍努力挣扎飞出去,正面,学业,low
被孤立,comment,回复：直接口头警告，还是这样就让辅导员介入解决，辅导员知情的情况下，要是你们俩个因为这件事情发生了冲突的话，辅导员就有无法推卸的责任，所以辅导员一般都会解决,正面,学业,low
校园冷暴力,content,没有拳脚与勒索，也没有戏剧性的冲突场面,正面,学业,low
校园冷暴力,content,暴力的核心，已从肢体冲突转变为一种关系上的彻底否定，一种被整个环境系统性地排斥、无视与污名化的生存状态,正面,学业,low
校园冷暴力,comment,如果是肢体冲突，我早开打了,正面,学业,low
校园冷暴力,comment,最好的办法就是跑，能被80就已经说明了大概率干不过，不建议正面冲突，一旦输了后面更严重，或者有备而去带武器下手重了蹲监狱赔钱也不是好办法,正面,学业,low
校园冷暴力,comment,上了第一节课下课出来时，在三楼看见楼下一个角落乌泱泱的围了一群人，有人还冲进教室揪出那个女生,正面,学业,low
校园冷暴力,content,#正式确诊为健康人 你是否经历过这样的场景： 每次和对方发生冲突，对方便不再理你，拒绝交流，甚至用沉默来“对抗”你,正面,学业,low
校园冷暴力,content,2. 回避冲突，避免责任 对方用沉默来逃避沟通和解决问题，将责任全部转移到被沉默者身上,正面,学业,low
校园冷暴力,content,四. 沉默惩罚≠“冷静时间” 值得注意的是，沉默惩罚和“冷静时间”是两回事： • 冷静时间是为了避免冲突升级，暂时中止沟通，但冷静后双方会主动重启对话,正面,学业,low
校园冷暴力,content,我们将引以为戒，举一反三，严格压实校园安全管理责任，全面开展校园安全隐患排查整治，努力营造安全、和谐、文明的校园环境,正面,学业,low
校园冷暴力,comment,家里有其他大猫小猫，都不去针对，只针对缅因缅因去舔自己的孩子，会被布偶打，跟其他大猫冲突一下也会被布偶打,正面,学业,low
校园冷暴力,comment,改变自己，走出困境，人依靠的永远只有自己，加油哟,正面,学业,low
校园冷暴力,comment,回复：加油宝子,正面,学业,low
校园冷暴力,comment,回复：我现在就处于努力向内求的阶段，有点反复,正面,学业,low
校园冷暴力,content,18. 新生和别的班同学发生冲突，怎么调解,正面,学业,low
校园冷暴力,comment,包括前面冲进去的一百块也早就说了是平分到十二个月啊,正面,学业,low
校园冷暴力,comment,回复：这种都能骗他们激活吗,正面,学业,low
校园冷暴力,comment,就是非必要不交流，但也没大的冲突,正面,学业,low
校园冷暴力,comment,然后嫌弃我脏，厕所需要再冲一遍，水龙头也要重新擦一遍,正面,学业,low
校园冷暴力,comment,其实没必要这样想，跟别的室友还是正常说话就行，她们只是不想参与矛盾，并不代表一个跟你掰了，全宿舍就跟你掰了，可能只是当时那个宿舍氛围让人不知道该怎么讲话，你只需要专注自己就行，加油,正面,学业,low
被排挤,comment,我也是 不过我是一人一个办公室（办公室最底端的那种）隔壁办公室的人总是甩锅给我而且这里就我一个本地人 她们总会说这里这里人怎么怎么不好她们一遇到什么事说话也特别冲 我想离职可是我又觉得除了这些其他都挺好,正面,学业,low
被排挤,comment,加油 抱抱,正面,学业,low
被排挤,comment,加油，尽可能专注自己,正面,学业,low
被排挤,comment,回复：高强度冲浪被发现了,正面,学业,low
被排挤,comment,回复：真的 这个节目绝了,正面,学业,low
被排挤,comment,回复：因为她是朋友很多人也还可以 所以我可能在她面前是讨好型人格吧马上我上大学了 我要努努力跟舍友处好关系呀,正面,学业,low
被排挤,comment,回复：宝，在交朋友这个事情上，如果过于努力的话，我觉得可能会稍微有一点点带讨好感，这样的话会被别人看低的，我这个人从小到大的人缘还算是可以，但我反而是一个说话有点毒，有点犀利，然后也有一点点强势的人，当然，可能我的这个不一定适合你，我觉得你可以找一下属于自己的性格展现自己的色彩，然后去交适合自己的朋友，一切都会好起来的,正面,学业,low
被排挤,comment,回复：650我会问人家学习方法，努努力就到了，750的我都不问人家，那有智商鸿沟，她的方法一般人用的明白吗,正面,学业,low
被排挤,comment,就算不是这种程度的学霸，只是普通的成绩，但是特别努力，老师也会多关注一些,正面,学业,low
被排挤,comment,我以前也有一次，一帮人在角落抽烟，我不知道怎么想的不走大路偏偏冲着他们就过去了，经过他们后隐约听到他们在那蛐蛐，“还以为刚那个女孩要说我们”,正面,学业,low
被排挤,comment,初三就不要因为这些事而困扰你了，加油宝宝,正面,学业,low
被排挤,comment,我也不知道干了什么，别人就说我装我很努力搞好人际关系了,正面,学业,low
没有朋友,comment,回复：偶尔有点，所以来冲浪了,正面,学业,low
